Quality Attribute, KISS, YAGNI, DRY, Low Coupling, High Cohesion, Separation of Concerns, Single Responsibility, Open - Close, Interface Segregation, Dependency Injection, Composition over Inheritance, Clean Architecture, Liskov Substitution, Design By Contract, Law of Demeter, Information Expert
Readability,4,3,3,3,3,3,4,4,3,4,3,4,3,4,3,4
Simplicity,5,5,4,5,5,5,4,5,4,4,5,5,4,4,4,5
Maintainability,4,4,4,5,5,5,4,4,4,5,4,5,5,5,5,5
Testability,3,4,4,5,4,4,4,4,4,5,4,5,4,5,4,4
Modularity,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5
Flexibility,4,4,4,5,4,4,5,4,4,5,4,5,4,5,4,4
Performance,3,4,4,5,4,4,3,4,4,4,4,5,5,5,4,4
Reliability,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5
Scalability,4,4,4,5,4,5,4,4,4,5,4,5,5,5,4,4
Security,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5
